INFO  - 2024-01-30 16:51:14.551; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 16:51:16.855; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 357
INFO  - 2024-01-30 16:51:16.856; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:0
INFO  - 2024-01-30 16:51:17.551; com.flipkart.pageObjects.FlipkartAddCartPage; Unique ListKeyLink :https://www.flipkart.com/#
INFO  - 2024-01-30 16:51:18.436; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 16:51:18.436; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 16:52:11.482; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 16:52:11.492; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 16:52:54.050; com.flipkart.pageObjects.FlipkartAddCartPage; Get Title : Online Shopping Site for Mobiles, Electronics, Furniture, Grocery, Lifestyle, Books & More. Best Offers!
INFO  - 2024-01-30 16:52:54.735; com.flipkart.pageObjects.FlipkartAddCartPage; Count of links 359
INFO  - 2024-01-30 16:52:54.736; com.flipkart.pageObjects.FlipkartAddCartPage; Count of Unique links:359
INFO  - 2024-01-30 16:52:56.862; com.flipkart.pageObjects.FlipkartAddCartPage; Unique ListKeyLink :https://www.flipkart.com/#
INFO  - 2024-01-30 16:53:00.619; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 16:53:00.626; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 18:53:40.495; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 18:53:40.502; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 18:56:14.089; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 18:56:14.091; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
INFO  - 2024-01-30 21:42:33.159; com.flipkart.utilities.DriverInit; Driver invoked :Chrome
INFO  - 2024-01-30 21:42:33.168; com.flipkart.testCases.BaseTest; Browser Name :Chrome
INFO  - 2024-01-30 21:43:09.308; com.flipkart.testCases.FlipkartAddCarTest; scrollToItemTest Running..
INFO  - 2024-01-30 21:43:09.310; com.flipkart.pageObjects.FlipkartAddCartPage; findProductByScrollingDown
